_Customer_ID,Full_Name,Gen,Age,Address,City,State,PostalCode,Country,Phone,E_Mail,Update_Date,Status,Updated_by
1027,Alan Urschel,M,24,3000 Milford Ct,Norcross,GA,30092,US,(404) 448/5210,Alan.Urschel@retrevo.com,9/10/16,A,T_Lee
1029,Andre Hayes,M,29,1902 University Dr,Atlanta,GA,30305,US,,Andre.Hayes@medscape.com,9/10/16,Inactive,S_Taylor
1030,Annika Larsson,F,35,1531 Stout Street,Denver,CA,80202,US,,Annika_Larsson@piratescove.net,9/10/16,A,A_Jones
1035,Brad Poorman,M,44,2 Village Drive,Abilene,TX,79606,US,915/677-1741,Brad.Poorman@superkids.com,9/10/16,Active,A_Jones
1036,Brent Salzer,M,25,4001 South 700,Salt Lake City,UT,84107,US,,Brent.Salzer@adr.com,9/10/16,A,T_Lee
1041,Tim Diefendorf,M,63,628 Hebron Avenue,Glastonbury,CT,6033,US,,Tim.Diefendorf@rootsweb.com,9/10/16,A,M_Jackson
1047,Donna Clayburn,F,49,3495 Piedmont Road North East,Atlanta,GA,30305,US,,Donna.Clayburn@medscape.com,9/10/16,A,B_Kelly
1048,Eithne Egan,M,39,32 Hartwell Avenue,Lexington,MA,2421,US,6174768000,Eithne.Egan@ft.com,9/10/16,A,B_Kelly
1057,Greg Yancey,M,24,2115 East Jefferson Street,Rockville,MD,20852,US,,Greg.Yancey@foodchannel.com,9/10/16,A,R_Hunt
1067,Jim Oldham,M,49,2910 Highway 80 E,Pearl,MS,39208,U.S.,Ext 51,Jim.Oldham@artmotors.com,9/10/16,A,R_Hunt
1070,Joe Smathers,M,42,2009 Crossgate Drive,Lawrence,KS,66047,US,,mailto:Joe.Smathers@oobject.com,9/10/16,A,A_Jones
1071,Joe Woodward,M,46,4302 Green Trail Way,Tulsa,OK,74136,US,,Joe.Woodward@oasispark.net,9/10/16,A,A_Jones
1076,Jonathan Craft,M,40,605 W Madison Street,Chicago,IL,60661,,,Jonathan.Craft@netstockdirect.com,9/10/16,A,A_Jones
1078,Joseph Sciacca,M,25,18009 Vintage River,Olney,MD,20832,United States,,<Joseph.Sciacca@personalityforge.com>,9/10/16,Active,SYSTEM
1079,Joseph Tass,M,25,PO Box 164,Riverdale,MD,20738,US,301/946-6533,<Joseph.Tass@cbsnews.com>,9/10/16,Active,SYSTEM
1081,Kent Cook,M,39,5000 Bradford Drive NW,Huntsville,AL,35805,US,2054307043,Kent.Cook@sbs.ox.ac.uk,9/10/16,Inactive,R_Hunt
1086,Marnell Ford,M,43,5817 Old Leeds Road,Birmingham,AL,35210,,2059569537,,9/10/16,A,A_Jones
1087,Maury Gallagher,M,29,3291 North Buffalo Drive,Las Vegas,NV,89129,US,7023101000,<Maury.Gallagher@break.com>,9/10/16,Active,SYSTEM
1091,Pat Walls,M,45,201 North Franklin Street,Tampa,FL,33602,,8132733029,SYSTEMMIGRATIONFAILED,9/10/16,Inactive,SYSTEM
1093,Patrick Rogers,M,49,1609 Summit Hill,Eagan,MN,55122,US,6512076028,Patrick.Rogers@espn.com,9/10/16,A,B_Kelly
1101,Rick Sundheim,M,24,90 Inverness Cir E,Englewood,CO,80112,US,3037990222,Rick.Sundheim@pantheon.org,9/10/16,A,R_Hunt
1102,Phyllis Jackson,F,29,9523 Kings Court,Atlanta,GA,30305,US,,SYSTEMMIGRATIONFAILED,9/10/16,Active,SYSTEM
1103,Ronald Orbach,M,43,1 Mobay Road,Pittsburgh,PA,15205,,4127772439,<Ronald.Orbach@i4u.com>,9/10/16,Active,SYSTEM
1114,Sam Wyman,M,24,1401 K Street North West,Washington,DC,20005,US,,<Sam.Wyman@enature.com>,9/10/16,Active,SYSTEM
1115,Scott Orbach,M,22,PO Box 30096,Bethesda,MD,20824,US,,Scott.Orbach@ancestry.com,9/10/16,A,A_Jones
1117,Sheri Mcburrows,F,40,2683 Prairie Avenue,Chicago,IL,60201,US,,mailto:Sheri.Mcburrows@medscape.com,9/10/16,A,M_Jackson
1119,Jackson Greene,M,33,2002 Pisgah Church Road,Greensboro,NC,27455,US,,mailto:Jackson.Greene@aesthetic.com,9/10/16,Inactive,M_Jackson
1123,Thomas Allen,M,30,,,,,US,,<Thomas.Allen@cnet.com>,9/10/16,Active,SYSTEM
